2026-05-12T18:00:07.496763 | Binance fetch complete
2026-05-12T18:00:07.518005 | Data ready - 227 rows, last=2026-05-12 17:30:00+05:30
2026-05-12T18:00:07.520678 | data fetched price=80795.29
2026-05-12T18:00:07.521677 | no signal
2026-05-12T18:00:07.521677 | loop end - sleeping
2026-05-12T18:00:07.523012 | sleeping until next candle
2026-05-12T18:30:05.536844 | loop start
2026-05-12T18:30:06.335776 | TwelveData OK - 228 rows
2026-05-12T18:30:06.357994 | TwelveData fetch completed
2026-05-12T18:30:07.806992 | Binance fetch complete
2026-05-12T18:30:07.858341 | Data ready - 228 rows, last=2026-05-12 18:30:00+05:30
2026-05-12T18:30:07.861068 | data fetched price=80884.37
2026-05-12T18:30:07.863591 | no signal
2026-05-12T18:30:07.865929 | loop end - sleeping
2026-05-12T18:30:07.865929 | sleeping until next candle
2026-05-12T19:00:05.876009 | loop start
2026-05-12T19:00:06.473949 | TwelveData OK - 228 rows
2026-05-12T19:00:06.511146 | TwelveData fetch completed
2026-05-12T19:00:07.970993 | Binance fetch complete
2026-05-12T19:00:08.049541 | Data ready - 228 rows, last=2026-05-12 19:00:00+05:30
2026-05-12T19:00:08.051543 | data fetched price=80609.30
2026-05-12T19:00:08.052539 | no signal
2026-05-12T19:00:08.052539 | loop end - sleeping
2026-05-12T19:00:08.052539 | sleeping until next candle
2026-05-12T19:30:05.062154 | loop start
2026-05-12T19:30:06.121074 | TwelveData OK - 227 rows
2026-05-12T19:30:06.172475 | TwelveData fetch completed
2026-05-12T19:30:07.622981 | Binance fetch complete
2026-05-12T19:30:07.693258 | Data ready - 227 rows, last=2026-05-12 19:00:00+05:30
2026-05-12T19:30:07.696590 | data fetched price=80437.60
2026-05-12T19:30:07.697589 | no signal
2026-05-12T19:30:07.698592 | loop end - sleeping
2026-05-12T19:30:07.699592 | sleeping until next candle
2026-05-12T20:00:05.706840 | loop start
2026-05-12T20:00:08.842658 | TwelveData OK - 228 rows
2026-05-12T20:00:09.420602 | TwelveData fetch completed
2026-05-12T20:00:10.861410 | Binance fetch complete
2026-05-12T20:00:11.931301 | Data ready - 228 rows, last=2026-05-12 20:00:00+05:30
2026-05-12T20:00:11.933358 | data fetched price=80599.45
2026-05-12T20:00:11.934361 | no signal
2026-05-12T20:00:11.934361 | loop end - sleeping
2026-05-12T20:00:11.935724 | sleeping until next candle
2026-05-12T20:30:05.948649 | loop start
2026-05-12T20:30:06.847976 | TwelveData OK - 228 rows
2026-05-12T20:30:06.905587 | TwelveData fetch completed
2026-05-12T20:30:08.382095 | Binance fetch complete
2026-05-12T20:30:08.416254 | Data ready - 228 rows, last=2026-05-12 20:30:00+05:30
2026-05-12T20:30:08.418254 | data fetched price=80444.73
2026-05-12T20:30:08.418254 | no signal
2026-05-12T20:30:08.419254 | loop end - sleeping
2026-05-12T20:30:08.419254 | sleeping until next candle
2026-05-12T21:00:05.432756 | loop start
2026-05-12T21:00:08.149337 | TwelveData OK - 228 rows
2026-05-12T21:00:08.179452 | TwelveData fetch completed
2026-05-12T21:00:09.546553 | Binance fetch complete
2026-05-12T21:00:09.586471 | Data ready - 228 rows, last=2026-05-12 21:00:00+05:30
2026-05-12T21:00:09.587616 | data fetched price=80228.74
2026-05-12T21:00:09.587616 | no signal
