date,btc_open,btc_close,btc_return_pct,btc_return,account_balance,daily_pnl
2026-05-12,82026.07,80467.52,-1.9,-1558.55,10000.0,0.0
2026-05-13,80467.51,79735.95,-0.91,-731.56,10000.0,0.0
2026-05-14,79735.96,81884.68,2.69,2148.72,10000.0,0.0
2026-05-15,81884.67,79232.79,-3.24,-2651.88,10000.0,0.0
2026-05-16,79232.8,78177.67,-1.33,-1055.13,10000.0,0.0
2026-05-17,78177.67,78098.31,-0.1,-79.36,10000.0,0.0
2026-05-19,76287.06,76703.0,0.55,415.94,10000.0,0.0
