,datetime,open,high,low,close,color,body
0,2022-01-01 01:30:00,45671.73047,46564.82812,45655.42969,46197.60938,1.0,525.8789099999995
1,2022-01-01 05:30:00,46211.19922,46928.5,46211.19922,46804.011719,1.0,592.8124989999997
2,2022-01-01 09:30:00,46805.67969,47538.57812,46625.46094,47208.42188,1.0,402.7421900000045
3,2022-01-01 13:30:00,47200.46094,47344.14062,46726.078125,46758.10938,0.0,-442.3515599999955
4,2022-01-01 17:30:00,46757.76953,47465.94141,46757.76953,47236.85938,1.0,479.08985000000393
5,2022-01-01 21:30:00,47231.0,47963.28906,47204.35156,47346.62891,1.0,115.62890999999945
6,2022-01-02 01:30:00,47347.39844,47808.92969,47245.83984,47735.12891,1.0,387.73047000000224
7,2022-01-02 05:30:00,47730.0,47762.28125,47280.23828,47337.0,0.0,-393.0
8,2022-01-02 09:30:00,47339.42188,47427.92188,46786.44141,47189.039062,0.0,-150.38281799999822
9,2022-01-02 13:30:00,47189.03125,47494.82812,46992.03125,47245.57031,1.0,56.53906000000279
10,2022-01-02 17:30:00,47246.48828,47452.12109,47025.58984,47362.67188,1.0,116.18360000000393
11,2022-01-02 21:30:00,47358.83984,47966.16016,46695.33984,46938.64844,0.0,-420.19140000000334
12,2022-01-03 01:30:00,46922.23047,47478.35156,46835.078125,47305.011719,1.0,382.78124899999966
13,2022-01-03 05:30:00,47304.21875,47304.21875,46725.050781,46799.078125,0.0,-505.140625
14,2022-01-03 09:30:00,46796.57031,47204.33984,46756.71094,47059.53125,1.0,262.9609399999972
15,2022-01-03 13:30:00,47058.42188,47436.62891,46783.87891,47384.82031,1.0,326.3984300000011
16,2022-01-03 17:30:00,47387.058594,47578.96094,46600.0,46687.23828,0.0,-699.8203140000041
17,2022-01-03 21:30:00,46683.30859,46790.60938,46278.92188,46384.12891,0.0,-299.1796800000011
18,2022-01-04 01:30:00,46355.51172,46572.19922,45716.5,46439.19141,1.0,83.67968999999721
19,2022-01-04 05:30:00,46459.57031,46532.089844,45958.070312,46319.32031,0.0,-140.25
20,2022-01-04 09:30:00,46319.98828,46578.80078,46022.76172,46551.78906,1.0,231.80078000000503
21,2022-01-04 13:30:00,46559.44141,46761.82812,46297.25,46735.28906,1.0,175.84765000000334
22,2022-01-04 17:30:00,46738.80859,47517.35156,46418.19922,46893.78125,1.0,154.97265999999945
23,2022-01-04 21:30:00,46906.53906,46970.94922,45550.98828,46041.050781,0.0,-865.4882790000047
24,2022-01-05 01:30:00,46038.67969,46425.42188,45753.019531,45815.32812,0.0,-223.3515699999989
25,2022-01-05 05:30:00,45811.16016,46546.60938,45721.26953,46427.37891,1.0,616.21875
26,2022-01-05 09:30:00,46427.35156,46529.019531,46243.32031,46401.78906,0.0,-25.5625
27,2022-01-05 13:30:00,46408.12891,47054.82812,46125.71094,46273.21094,0.0,-134.91797000000224
28,2022-01-05 17:30:00,46271.10938,46826.60938,45916.48828,46625.14062,1.0,354.0312399999966
29,2022-01-05 21:30:00,46633.83984,46677.92969,44584.66016,44673.050781,0.0,-1960.7890590000025
30,2022-01-06 01:30:00,44627.37109,44808.66016,42500.0,43437.66016,0.0,-1189.710930000001
31,2022-01-06 05:30:00,43446.33984,43772.019531,42817.94922,42823.23047,0.0,-623.1093699999983
32,2022-01-06 09:30:00,42825.19922,43262.73047,42595.73828,43232.89844,1.0,407.69921999999497
33,2022-01-06 13:30:00,43241.92969,43257.12891,42432.98828,42860.76953,0.0,-381.16015999999945
34,2022-01-06 17:30:00,42855.83984,43229.070312,42631.92969,42936.78906,1.0,80.94922000000224
35,2022-01-06 21:30:00,42940.55078,43511.57812,42746.25,43437.69141,1.0,497.1406300000017
36,2022-01-07 01:30:00,43442.44922,43586.55078,43004.76172,43084.92188,0.0,-357.52734000000055
37,2022-01-07 05:30:00,43084.76172,43138.39062,41591.94141,41787.46094,0.0,-1297.300780000005
38,2022-01-07 09:30:00,41786.57031,41944.71875,41014.62891,41700.0,0.0,-86.57031000000279
39,2022-01-07 13:30:00,41681.69922,42723.011719,41606.89844,42241.73828,1.0,560.0390599999955
40,2022-01-07 17:30:00,42249.19141,42713.92969,40672.23828,41324.089844,0.0,-925.1015659999975
41,2022-01-07 21:30:00,41328.089844,42323.17188,40943.41016,41762.62891,1.0,434.53906599999755
42,2022-01-08 01:30:00,41775.91016,42040.16016,41346.96094,41557.62109,0.0,-218.2890699999989
43,2022-01-08 05:30:00,41561.23047,42231.89062,41559.37109,41812.058594,1.0,250.82812399999966
44,2022-01-08 09:30:00,41807.55078,41995.55859,41737.87891,41902.19141,1.0,94.64063000000169
45,2022-01-08 13:30:00,41908.44141,42200.0,41771.82812,41947.26953,1.0,38.82811999999831
46,2022-01-08 17:30:00,41947.32031,42055.64062,41459.85156,41617.98828,0.0,-329.33203000000503
47,2022-01-08 21:30:00,41613.69141,41734.55078,40527.55859,40826.83984,0.0,-786.8515699999989
48,2022-01-09 01:30:00,40808.66016,42316.28125,40719.32812,41684.83984,1.0,876.1796800000011
49,2022-01-09 05:30:00,41684.83984,42183.19141,41396.48828,41846.66016,1.0,161.8203199999989
50,2022-01-09 09:30:00,41842.44141,42099.51172,41680.78906,41797.32812,0.0,-45.11329000000114
51,2022-01-09 13:30:00,41797.23828,41979.0,41410.19922,41876.66016,1.0,79.42188000000169
52,2022-01-09 17:30:00,41867.67969,41928.69141,41212.69141,41618.12891,0.0,-249.55077999999776
53,2022-01-09 21:30:00,41623.51953,42742.82812,41577.23828,42703.82031,1.0,1080.300780000005
54,2022-01-10 01:30:00,42735.94141,42793.0,41775.070312,41860.98828,0.0,-874.9531300000017
55,2022-01-10 05:30:00,41862.78906,42036.53906,41602.41016,41992.070312,1.0,129.28125200000068
56,2022-01-10 09:30:00,41977.44922,42250.0,41838.60156,42051.55078,1.0,74.10155999999552
57,2022-01-10 13:30:00,42056.35156,42120.57031,41463.98828,41554.96875,0.0,-501.3828100000028
58,2022-01-10 17:30:00,41562.87109,41605.60156,39650.011719,40997.42969,0.0,-565.4414000000033
59,2022-01-10 21:30:00,40988.0,42118.53906,40587.91016,41291.26172,1.0,303.26172000000224
60,2022-01-11 01:30:00,41291.26953,41985.62109,41181.62109,41833.37891,1.0,542.1093800000017
61,2022-01-11 05:30:00,41822.92188,42397.019531,41566.96875,42291.10156,1.0,468.1796800000011
62,2022-01-11 09:30:00,42292.0,42375.64062,41994.94141,42207.55859,0.0,-84.44140999999945
63,2022-01-11 13:30:00,42222.78125,42579.51172,41591.60156,41862.30859,0.0,-360.47265999999945
64,2022-01-11 17:30:00,41833.94922,42154.62891,41283.57031,41746.28906,0.0,-87.66015999999945
65,2022-01-11 21:30:00,41743.76953,43115.12891,41694.039062,43006.03125,1.0,1262.2617200000022
66,2022-01-12 01:30:00,43006.12109,43129.10938,42624.44141,42754.26953,0.0,-251.8515600000028
67,2022-01-12 05:30:00,42752.019531,42983.25,42461.32812,42618.23828,0.0,-133.78125100000034
68,2022-01-12 09:30:00,42618.57031,42876.85156,42482.17188,42577.64844,0.0,-40.92187000000558
69,2022-01-12 13:30:00,42577.35938,43448.85156,42524.26953,42952.60156,1.0,375.2421800000011
70,2022-01-12 17:30:00,42954.75,44104.67188,42895.98828,43568.64062,1.0,613.8906199999983
71,2022-01-12 21:30:00,43581.92188,43910.17969,43373.48828,43762.53906,1.0,180.6171800000011
